State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Uttar Pradesh,#N/A,158257,629705,3.98
Uttar Pradesh,#N/A,157672,689815,4.38
Uttar Pradesh,#N/A,157091,636847,4.05
Uttar Pradesh,#N/A,156385,619597,3.96
Uttar Pradesh,#N/A,163931,673101,4.11
Uttar Pradesh,#N/A,180842,723911,4
Uttar Pradesh,#N/A,215859,682114,3.16
Uttar Pradesh,#N/A,212016,674635,3.18
Uttar Pradesh,#N/A,210932,651569,3.09
Uttar Pradesh,#N/A,208675,372484,1.78
Uttar Pradesh,#N/A,214593,533264,2.49
Uttar Pradesh,#N/A,212207,715562,3.37
Uttar Pradesh,#N/A,210935,685961,3.25
Uttar Pradesh,#N/A,205409,714823,3.48
Uttar Pradesh,#N/A,208656,700876,3.36
Uttar Pradesh,#N/A,210592,764449,3.63
Uttar Pradesh,#N/A,219450,831935,3.79
Uttar Pradesh,#N/A,209869,793305,3.78
Uttar Pradesh,#N/A,55981,105693,1.89
Uttar Pradesh,#N/A,54811,117261,2.14
Uttar Pradesh,#N/A,57853,135887,2.35
Uttar Pradesh,#N/A,57789,117617,2.04
Uttar Pradesh,#N/A,58322,92744,1.59
Uttar Pradesh,#N/A,56012,134857,2.41
Uttar Pradesh,#N/A,54274,127922,2.36
Uttar Pradesh,#N/A,57964,156734,2.7
Uttar Pradesh,#N/A,60343,144001,2.39
Uttar Pradesh,#N/A,57786,151646,2.62
Uttar Pradesh,#N/A,63408,175957,2.77
Uttar Pradesh,#N/A,81130,231058,2.85
Uttar Pradesh,#N/A,104286,332464,3.19
Uttar Pradesh,#N/A,104661,325914,3.11
Uttar Pradesh,#N/A,104250,256247,2.46
Uttar Pradesh,#N/A,104295,238836,2.29
Uttar Pradesh,#N/A,116068,329401,2.84
Uttar Pradesh,#N/A,101118,342487,3.39
Uttar Pradesh,#N/A,114555,461653,4.03
Uttar Pradesh,#N/A,104661,436855,4.17
Uttar Pradesh,#N/A,104036,412815,3.97
Uttar Pradesh,#N/A,104600,403756,3.86
Uttar Pradesh,#N/A,109991,447663,4.07
Uttar Pradesh,#N/A,116559,449568,3.86
Uttar Pradesh,#N/A,240711,718277,2.98
Uttar Pradesh,#N/A,240113,686003,2.86
Uttar Pradesh,#N/A,241717,736753,3.05
Uttar Pradesh,#N/A,243188,488078,2.01
Uttar Pradesh,#N/A,237761,528305,2.22
