State,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Haryana,8.769444783528646,8.699999809265137,7.599999904632568,10.199999809265137,0.6305065829533437
Haryana,8.914582994249132,9.0,7.5,10.399999618530273,0.6907090552246287
Haryana,9.488889906141493,9.399999618530273,8.399999618530273,11.100000381469727,0.6777322764974024
Haryana,10.348610772026909,10.5,8.600000381469727,11.399999618530273,0.5928961701780072
Haryana,10.260416666666666,10.199999809265137,9.300000190734863,11.199999809265137,0.36175087151520025
Haryana,10.319444444444445,10.399999618530273,9.0,11.199999809265137,0.47423588360655616
Haryana,10.286110772026909,10.300000190734863,9.600000381469727,11.0,0.3076820090369193
Haryana,10.03125,10.100000381469727,8.5,11.100000381469727,0.5844594447485543
Haryana,9.854166666666666,9.899999618530273,8.699999809265137,11.100000381469727,0.5143597251823392
Haryana,10.369444105360243,10.300000190734863,9.0,12.300000190734863,0.5836044442751743
Haryana,10.679851475046641,10.699999809265137,8.899999618530273,12.300000190734863,0.5943490301542904
Haryana,11.75,11.300000190734863,11.100000381469727,13.600000381469727,0.81394108253039
Haryana,8.94699951171875,8.899999618530273,7.900000095367432,9.899999618530273,0.4936507038508963
Haryana,9.268056233723959,9.399999618530273,8.0,10.899999618530273,0.6642302102940353
Haryana,10.179166158040365,10.199999809265137,8.600000381469727,11.800000190734863,0.6125850305445236
Haryana,11.056250678168404,10.850000381469727,9.199999809265137,13.800000190734863,1.084020242894008
Haryana,10.247916327582466,10.300000190734863,8.399999618530273,11.699999809265137,0.8019047487119768
Haryana,10.590972900390625,10.800000190734863,8.800000190734863,11.800000190734863,0.6186806178707612
Haryana,9.75,9.800000190734863,8.0,11.5,0.7729315060314589
Haryana,9.593572126116072,9.600000381469727,8.399999618530273,11.300000190734863,0.5065585578313359
Haryana,10.130555894639757,10.199999809265137,8.699999809265137,11.100000381469727,0.5507921152036084
Haryana,9.41597154405382,9.5,7.900000095367432,10.800000190734863,0.6064082525362879
Haryana,9.477778116861979,9.600000381469727,7.900000095367432,10.800000190734863,0.697858275759294
Haryana,10.100694444444445,10.199999809265137,8.399999618530273,11.699999809265137,0.6964689178045326
Haryana,11.097202967930507,11.0,10.399999618530273,13.100000381469727,0.37564754256376726
Haryana,11.384313246783089,11.300000190734863,10.800000190734863,12.600000381469727,0.32801995404173534
Haryana,9.134782431782156,9.199999809265137,8.100000381469727,10.0,0.47421212466312623
Haryana,9.460417005750868,9.600000381469727,8.100000381469727,10.699999809265137,0.5439335617714557
Haryana,9.931944105360243,10.0,8.100000381469727,10.899999618530273,0.5621946846781596
Haryana,10.04652828640408,10.0,8.699999809265137,11.5,0.6285911438034103
Haryana,9.888193766276041,10.100000381469727,8.300000190734863,11.300000190734863,0.6758221923226568
Haryana,9.502083672417534,9.399999618530273,8.199999809265137,12.0,0.7073492116457855
Haryana,9.293056064181858,9.25,7.900000095367432,11.399999618530273,0.7510781576097862
Haryana,8.992307009396853,8.899999618530273,8.199999809265137,11.399999618530273,0.5711082102011377
Haryana,9.659722222222221,9.600000381469727,8.199999809265137,11.699999809265137,0.6179400531722148
Haryana,9.928471883138021,9.899999618530273,8.600000381469727,11.199999809265137,0.4908415520088203
Haryana,9.273611280653212,9.199999809265137,8.199999809265137,10.600000381469727,0.49159408129786797
Haryana,9.808333502875435,9.699999809265137,8.300000190734863,12.0,0.9856258308796336
Haryana,10.051388210720486,10.100000381469727,8.800000190734863,11.300000190734863,0.6259422161519955
Haryana,10.974305894639757,10.899999618530273,10.0,12.800000190734863,0.4519627691693807
Haryana,11.32999979654948,11.300000190734863,9.899999618530273,12.199999809265137,0.3917057068760901
Haryana,9.846666463216145,9.899999618530273,9.5,10.300000190734863,0.18571184232666774
Haryana,10.0,10.0,10.0,10.0,0.0
Haryana,10.218181956898082,10.300000190734863,9.699999809265137,10.600000381469727,0.26906645628612524
Haryana,9.133333206176758,9.299999237060547,8.5,9.600000381469727,0.3880148622195142
Haryana,9.004065040650406,8.899999618530273,8.100000381469727,10.300000190734863,0.5397075956134435
Haryana,9.654166327582466,9.699999809265137,8.399999618530273,10.699999809265137,0.4592982633798689
Haryana,10.193055894639757,10.199999809265137,9.399999618530273,11.0,0.3652725042120696
Haryana,10.119444105360243,10.199999809265137,8.600000381469727,11.100000381469727,0.585149308195885
Haryana,10.234027438693577,10.199999809265137,8.699999809265137,12.5,0.7689425479787227
Haryana,9.668055216471354,9.800000190734863,8.199999809265137,11.5,0.6545410954460152
Haryana,9.472916497124565,9.399999618530273,8.100000381469727,10.899999618530273,0.6019895749530725
Haryana,8.870922332114361,8.699999809265137,7.599999904632568,11.100000381469727,0.7179105810588798
Haryana,10.23472171359592,10.199999809265137,8.399999618530273,11.899999618530273,0.7652450288550948
Haryana,10.383332994249132,10.399999618530273,9.300000190734863,11.399999618530273,0.4693375610000014
Haryana,10.201398942854022,10.199999809265137,8.5,11.600000381469727,0.7197499374073855
Haryana,10.038194444444445,10.0,8.399999618530273,12.100000381469727,0.7431162500673321
Haryana,10.480555216471354,10.600000381469727,8.699999809265137,11.899999618530273,0.6556673611022268
Haryana,10.83389851198358,10.800000190734863,9.100000381469727,12.399999618530273,0.553298323136207
Haryana,9.125,9.200000762939453,8.800000190734863,9.300000190734863,0.20463381347147366
Haryana,10.233823888442096,9.649999618530273,8.5,17.0,1.9054959496320156
Haryana,10.110400390625,9.899999618530273,8.600000381469727,15.699999809265137,1.1278172682354182
Haryana,10.488888471554487,10.300000190734863,9.399999618530273,18.700000762939453,1.2359831511526487
Haryana,10.75897451547476,10.5,9.600000381469727,13.100000381469727,0.9812911780132103
Haryana,10.835042317708334,10.300000190734863,8.300000190734863,15.0,1.81519305744234
Haryana,9.699305216471354,9.449999809265137,8.100000381469727,13.199999809265137,1.1157020570401324
Haryana,9.834721883138021,9.899999618530273,8.199999809265137,11.399999618530273,0.6324906228310043
Haryana,10.60347154405382,10.600000381469727,9.699999809265137,12.300000190734863,0.5508092003590722
Haryana,10.724305894639757,10.800000190734863,9.399999618530273,11.800000190734863,0.5175055360843491
Haryana,10.50972154405382,10.550000190734863,8.699999809265137,12.100000381469727,0.6999324923194156
Haryana,10.727082994249132,10.699999809265137,9.199999809265137,12.199999809265137,0.648204656808742
Haryana,10.015972561306423,10.0,8.5,12.199999809265137,0.6363593086858538
Haryana,8.769014600297096,8.699999809265137,7.599999904632568,10.600000381469727,0.5361814945970884
Haryana,9.605555216471354,9.5,8.199999809265137,11.399999618530273,0.7072813698535301
Haryana,10.248611450195312,10.100000381469727,8.800000190734863,12.399999618530273,0.6932197348016002
Haryana,10.814583672417534,10.899999618530273,9.199999809265137,12.800000190734863,0.7016813740662068
Haryana,10.559722052680122,10.600000381469727,8.899999618530273,11.800000190734863,0.6333683729239395
Haryana,10.85486094156901,10.800000190734863,9.0,12.5,0.6550901161564242
Haryana,10.872519456703245,10.899999618530273,10.0,12.199999809265137,0.4487562822069998
Haryana,11.266666412353516,11.199999809265137,10.899999618530273,11.699999809265137,0.32998323519987294
Haryana,9.545455239035867,9.600000381469727,9.100000381469727,10.100000381469727,0.23105936378938183
Haryana,9.316901408450704,9.199999809265137,8.199999809265137,12.100000381469727,0.6302214932283933
Haryana,9.85142822265625,9.75,8.5,12.0,0.7056391760039791
Haryana,10.450724283854166,10.399999618530273,9.300000190734863,13.5,0.714370777120017
Haryana,9.900714111328124,9.699999809265137,8.800000190734863,13.199999809265137,0.7588992061531489
Haryana,10.19166734483507,10.199999809265137,8.5,12.100000381469727,0.5753621940751426
Haryana,11.273611280653212,10.899999618530273,9.5,15.800000190734863,1.3026674596207477
Haryana,11.55833265516493,11.600000381469727,9.100000381469727,14.0,0.9471081683491311
Haryana,10.515972561306423,10.300000190734863,8.199999809265137,17.5,1.7730882914013681
