Year,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,State
2016,Kharif,30.18532786885246,34.943360655737706,25.51270491803279,712.46,2542.28,63.45172131147541,1.5940983606557375,Chandigarh
2016,Rabi,20.75230046948357,28.93037558685446,14.938075117370891,116.72,3564.83,34.851361502347416,1.9136150234741784,Chandigarh
2017,Kharif,29.200327868852458,33.70877049180328,24.907459016393442,991.37,2491.03,67.66360655737704,1.6227049180327868,Chandigarh
2017,Rabi,19.83452830188679,27.704811320754718,14.153207547169812,193.66,3556.26,42.65971698113208,1.9210849056603774,Chandigarh
2018,Kharif,28.78844262295082,32.89368852459017,24.914836065573773,1270.35,2306.17,72.85770491803278,1.7394262295081968,Chandigarh
2018,Rabi,19.198679245283017,26.844669811320752,13.57504716981132,122.39,3634.3,45.88849056603774,1.8907075471698112,Chandigarh
2019,Kharif,30.270737704918034,34.93459016393442,25.798688524590165,849.83,2466.68,63.884098360655734,1.6586065573770492,Chandigarh
2019,Rabi,18.05938679245283,25.008396226415094,12.940424528301886,263.17,3244.63,54.88150943396226,1.7711792452830188,Chandigarh
2020,Kharif,29.43155737704918,34.16688524590164,24.94860655737705,802.1,2585.98,68.58319672131147,1.6604098360655737,Chandigarh
2020,Rabi,18.117464788732395,25.535258215962443,12.869577464788732,323.19,3448.5099999999998,50.97868544600939,1.8621596244131455,Chandigarh
2021,Kharif,29.265901639344264,33.71975409836066,24.959016393442624,992.6,2429.1,68.71827868852458,1.5581147540983606,Chandigarh
2021,Rabi,19.571415094339624,27.240896226415092,14.013254716981132,157.82,3527.73,46.41481132075472,1.9489622641509434,Chandigarh
2022,Kharif,29.236475409836064,33.537213114754095,25.18622950819672,1139.18,2462.37,70.54655737704918,1.7131147540983607,Chandigarh
2022,Rabi,19.302075471698114,26.322264150943393,14.119669811320755,246.48,3492.06,57.034905660377355,1.8995283018867923,Chandigarh
